#T_peak T_lim t_conv R mu_0 mu_1
6.0 0.5 900 0.0495 0.0015 0.00000877
6.0 0.5 1000 0.04570 0.0015 0.00000698
6.0 1.0 100 0.348 0.0015 0.000830
6.0 1.0 200 0.177 0.0015 0.000199
6.0 1.0 300 0.1215 0.0015 0.0000870
6.0 1.0 400 0.0936 0.0015 0.0000480
6.0 1.0 500 0.0770 0.0015 0.0000302
6.0 1.0 600 0.0660 0.0015 0.00002059
6.0 1.0 700 0.05815 0.0015 0.00001489
6.0 1.0 800 0.0524 0.0015 0.0000112
6.0 1.0 900 0.0478 0.0015 0.00000870
6.0 1.0 1000 0.04420 0.0015 0.00000692
6.0 1.5 100 0.334 0.0015 0.000825
6.0 1.5 200 0.170 0.0015 0.000198
6.0 1.5 300 0.1166 0.0015 0.0000865
6.0 1.5 400 0.0900 0.0015 0.0000476
6.0 1.5 500 0.0742 0.0015 0.0000300
6.0 1.5 600 0.0635 0.0015 0.00002042
6.0 1.5 700 0.05600 0.0015 0.00001475
6.0 1.5 800 0.0504 0.0015 0.00001110
6.0 1.5 900 0.0461 0.0015 0.00000862
6.0 1.5 1000 0.04265 0.0015 0.00000685
6.0 2.0 100 0.3182 0.0015 0.000818
6.0 2.0 200 0.162 0.0015 0.000196
6.0 2.0 300 0.1114 0.0015 0.0000857
6.0 2.0 400 0.0860 0.0015 0.0000472
6.0 2.0 500 0.0709 0.0015 0.0000297
6.0 2.0 600 0.0609 0.0015 0.00002025
6.0 2.0 700 0.05377 0.0015 0.00001461
6.0 2.0 800 0.0484 0.0015 0.00001099
6.0 2.0 900 0.04425 0.0015 0.00000853
6.0 2.0 1000 0.0410 0.0015 0.00000678
